ID,Title,Year,Author,Link,Start,End,ChartType,SourceWebsite
1,The Coronavirus Explained & What You Should Do,2020,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=BtN-goy9VOY,05:39,05:43,area,https://datavideos.github.io/narration-animation-study/#/clips
2,Overpopulation & Africa,2019,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NMo3nZHVrZ4,04:18,04:22,area,https://datavideos.github.io/narration-animation-study/#/clips
3,Is War Over? — A Paradox Explained,2014,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NbuUW9i-mHs,05:20,05:22,area,https://datavideos.github.io/narration-animation-study/#/clips
4,Is War Over? — A Paradox Explained,2014,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NbuUW9i-mHs,03:23,03:26,area,https://datavideos.github.io/narration-animation-study/#/clips
5,The Most Overvalued Startup in the World?,2019,PolyMatter,https://www.youtube.com/watch?v=DwAyUV6hTf8,10:34,10:44,area,https://datavideos.github.io/narration-animation-study/#/clips
6,Overpopulation & Africa,2019,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NMo3nZHVrZ4,03:07,03:16,area,https://datavideos.github.io/narration-animation-study/#/clips
7,Overpopulation & Africa,2019,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NMo3nZHVrZ4,03:17,03:19,area,https://datavideos.github.io/narration-animation-study/#/clips
8,Is War Over? — A Paradox Explained,2014,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NbuUW9i-mHs,00:19,00:22,area,https://datavideos.github.io/narration-animation-study/#/clips
9,"The Electoral College, explained",2020,Vox,https://www.youtube.com/watch?v=ajavsMbCapY,03:58,04:11,area,https://datavideos.github.io/narration-animation-study/#/clips
10,"The Electoral College, explained",2020,Vox,https://www.youtube.com/watch?v=ajavsMbCapY,04:36,04:58,area,https://datavideos.github.io/narration-animation-study/#/clips
11,The Coronavirus Explained & What You Should Do,2020,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=BtN-goy9VOY,07:45,07:58,area,https://datavideos.github.io/narration-animation-study/#/clips
12,Is War Over? — A Paradox Explained,2014,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=NbuUW9i-mHs,00:12,00:18,area,https://datavideos.github.io/narration-animation-study/#/clips
13,The Coronavirus Explained & What You Should Do,2020,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=BtN-goy9VOY,06:09,06:11,area,https://datavideos.github.io/narration-animation-study/#/clips
14,The Coronavirus Explained & What You Should Do,2020,Kurzgesagt – In a Nutshell,https://www.youtube.com/watch?v=BtN-goy9VOY,05:20,05:28,area,https://datavideos.github.io/narration-animation-study/#/clips
